CODE	Leftmost	Topmost	Rightmost	Bottommost	Offset_Y	U_COORD_1	V_COORD_1	U_COORD_2	V_COORD_2	U_COORD_3	V_COORD_3	U_COORD_4	V_COORD_4	U_COORD_5	V_COORD_5	U_COORD_6	V_COORD_6
91	488	183	497	217	-59	0.953125	0.2119140625	0.953125	0.1787109375	0.970703125	0.1787109375	0.953125	0.2119140625	0.970703125	0.2119140625	0.970703125	0.1787109375
92	7	243	22	273	1	0.013671875	0.2666015625	0.013671875	0.2373046875	0.04296875	0.2373046875	0.013671875	0.2666015625	0.04296875	0.2666015625	0.04296875	0.2373046875
93	43	242	52	276	0	0.083984375	0.26953125	0.083984375	0.236328125	0.1015625	0.236328125	0.083984375	0.26953125	0.1015625	0.26953125	0.1015625	0.236328125
94	75	245	90	256	3	0.146484375	0.25	0.146484375	0.2392578125	0.17578125	0.2392578125	0.146484375	0.25	0.17578125	0.25	0.17578125	0.2392578125
95	106	273	127	276	31	0.20703125	0.26953125	0.20703125	0.2666015625	0.248046875	0.2666015625	0.20703125	0.26953125	0.248046875	0.26953125	0.248046875	0.2666015625
96	144	243	152	247	1	0.28125	0.2412109375	0.28125	0.2373046875	0.296875	0.2373046875	0.28125	0.2412109375	0.296875	0.2412109375	0.296875	0.2373046875
97	177	250	192	269	8	0.345703125	0.2626953125	0.345703125	0.244140625	0.375	0.244140625	0.345703125	0.2626953125	0.375	0.2626953125	0.375	0.244140625
98	212	243	228	269	1	0.4140625	0.2626953125	0.4140625	0.2373046875	0.4453125	0.2373046875	0.4140625	0.2626953125	0.4453125	0.2626953125	0.4453125	0.2373046875
99	246	250	260	269	8	0.48046875	0.2626953125	0.48046875	0.244140625	0.5078125	0.244140625	0.48046875	0.2626953125	0.5078125	0.2626953125	0.5078125	0.244140625
100	279	243	295	269	1	0.544921875	0.2626953125	0.544921875	0.2373046875	0.576171875	0.2373046875	0.544921875	0.2626953125	0.576171875	0.2626953125	0.576171875	0.2373046875
101	313	250	330	269	8	0.611328125	0.2626953125	0.611328125	0.244140625	0.64453125	0.244140625	0.611328125	0.2626953125	0.64453125	0.2626953125	0.64453125	0.244140625
102	347	243	365	269	1	0.677734375	0.2626953125	0.677734375	0.2373046875	0.712890625	0.2373046875	0.677734375	0.2626953125	0.712890625	0.2626953125	0.712890625	0.2373046875
103	381	250	399	276	8	0.744140625	0.26953125	0.744140625	0.244140625	0.779296875	0.244140625	0.744140625	0.26953125	0.779296875	0.26953125	0.779296875	0.244140625
104	417	243	431	269	1	0.814453125	0.2626953125	0.814453125	0.2373046875	0.841796875	0.2373046875	0.814453125	0.2626953125	0.841796875	0.2626953125	0.841796875	0.2373046875
105	451	243	466	269	1	0.880859375	0.2626953125	0.880859375	0.2373046875	0.91015625	0.2373046875	0.880859375	0.2626953125	0.91015625	0.2626953125	0.91015625	0.2373046875
106	484	243	498	276	-59	0.9453125	0.26953125	0.9453125	0.2373046875	0.97265625	0.2373046875	0.9453125	0.26953125	0.97265625	0.26953125	0.97265625	0.2373046875
107	8	302	23	328	0	0.015625	0.3203125	0.015625	0.294921875	0.044921875	0.294921875	0.015625	0.3203125	0.044921875	0.3203125	0.044921875	0.294921875
108	42	302	56	328	0	0.08203125	0.3203125	0.08203125	0.294921875	0.109375	0.294921875	0.08203125	0.3203125	0.109375	0.3203125	0.109375	0.294921875
109	74	309	92	328	7	0.14453125	0.3203125	0.14453125	0.3017578125	0.1796875	0.3017578125	0.14453125	0.3203125	0.1796875	0.3203125	0.1796875	0.3017578125
110	110	309	124	328	7	0.21484375	0.3203125	0.21484375	0.3017578125	0.2421875	0.3017578125	0.21484375	0.3203125	0.2421875	0.3203125	0.2421875	0.3017578125
111	143	309	160	328	7	0.279296875	0.3203125	0.279296875	0.3017578125	0.3125	0.3017578125	0.279296875	0.3203125	0.3125	0.3203125	0.3125	0.3017578125
112	178	309	194	335	7	0.34765625	0.3271484375	0.34765625	0.3017578125	0.37890625	0.3017578125	0.34765625	0.3271484375	0.37890625	0.3271484375	0.37890625	0.3017578125
113	211	309	227	335	7	0.412109375	0.3271484375	0.412109375	0.3017578125	0.443359375	0.3017578125	0.412109375	0.3271484375	0.443359375	0.3271484375	0.443359375	0.3017578125
114	247	309	262	328	7	0.482421875	0.3203125	0.482421875	0.3017578125	0.51171875	0.3017578125	0.482421875	0.3203125	0.51171875	0.3203125	0.51171875	0.3017578125
115	281	309	295	328	7	0.548828125	0.3203125	0.548828125	0.3017578125	0.576171875	0.3017578125	0.548828125	0.3203125	0.576171875	0.3203125	0.576171875	0.3017578125
116	313	304	330	328	2	0.611328125	0.3203125	0.611328125	0.296875	0.64453125	0.296875	0.611328125	0.3203125	0.64453125	0.3203125	0.64453125	0.296875
117	349	310	364	328	8	0.681640625	0.3203125	0.681640625	0.302734375	0.7109375	0.302734375	0.681640625	0.3203125	0.7109375	0.3203125	0.7109375	0.302734375
118	382	310	399	328	8	0.74609375	0.3203125	0.74609375	0.302734375	0.779296875	0.302734375	0.74609375	0.3203125	0.779296875	0.3203125	0.779296875	0.302734375
119	415	310	434	328	8	0.810546875	0.3203125	0.810546875	0.302734375	0.84765625	0.302734375	0.810546875	0.3203125	0.84765625	0.3203125	0.84765625	0.302734375
